Species,Host_Family
A_abdominalis_HM386989,Cupressaceae
A_abies_GU095507,Pinaceae
A_abies_MG358614,Pinaceae
A_affinis_LNAUS5767_14,Cupressaceae
A_albistria_HM391874,Rosaceae
A_alternatella_GU800182,Cupressaceae
A_amiantella_JF859683,Pinaceae
A_amiantella_JF859684,Pinaceae
A_annettella_KM541487,Cupressaceae
A_aureoargentella_MG361900,Cupressaceae
A_aurulentella_HM876198,Cupressaceae
A_bergiella_HM874190,Pinaceae
A_bonnetella_HM873448,Rosaceae
A_brockeella_GU707321,Betulaceae
A_calliphanes_LNAUS5782_14,Betulaceae
A_canadensis_GU095510,Cupressaceae
A_conjugella_GU690418,Rosaceae
A_cupressella_LNAUS5788_14,Cupressaceae
A_cupressella_MNAD219_07,Cupressaceae
A_curvella_GU707322,Multiple Angiosperm Families
A_dilectella_HM875177,Cupressaceae
A_flexilis_KT136150,Pinaceae
A_freyella_MNAA062_07,Cupressaceae
A_fundella_GU706913,Pinaceae
A_glabratella_GU707214,Pinaceae
A_glabratella_HM875937,Pinaceae
A_glaucinella_GU707319,Multiple Angiosperm Families
A_goedartella_KX044037,Multiple Angiosperm Families
A_illuminatella_KP150223,Pinaceae
A_illuminatella_KP253410,Pinaceae
A_ivella_LON3240_16,Multiple Angiosperm Families
A_kulfani_HQ955402,Pinaceae
A_laevigatella_HM876340,Pinaceae
A_laricella_MG499568,Pinaceae
A_libocedrella_LNAUS5809_14,Cupressaceae
A_oreasella_GU095514,Rosaceae
A_praecocella_KT782576,Cupressaceae
A_pruniella_FJ412159,Rosaceae
A_pygmaeella_GU679758,Salicaceae
A_quadristrigella_KT130002,Cupressaceae
A_reticulata_LON6890_18,Cupressaceae
A_retinella_HM875671,Betulaceae
A_semifusca_HM387223,Rosaceae
A_semitestacella_HQ955406,Fagaceae
A_sorbiella_HM875670,Rosaceae
A_spinosella_HM873477,Rosaceae
A_subreticulata_GU801315,Sapindaceae
A_svenssoni_HM873235,Pinaceae
A_thuiella_GU095515,Cupressaceae
A_trifasciae_LNAUS5832_14,Cupressaceae
A_trifasciae_LNAUS5833_14,Cupressaceae
A_trifasciata_GU706912,Cupressaceae
A_tsuga_MG502448,Pinaceae